,state,town
410,Pennsylvania[edit],"West Chester (West Chester University of Pennsylvania)
"
411,Pennsylvania[edit],"Wilkes-Barre (King's College, Wilkes University)
"
412,Pennsylvania[edit],"Williamsport (Lycoming College, Pennsylvania College of Technology)[2]
"
413,Rhode Island[edit],"Kingston (University of Rhode Island)[2]
"
414,Rhode Island[edit],"Providence (Brown University, (University of Rhode Island), Rhode Island School of Design, Johnson and Wales University, Providence College, Community College of Rhode Island, Rhode Island College, and Roger Williams University.)
"
415,South Carolina[edit],"Central (Southern Wesleyan University)[2]
"
416,South Carolina[edit],"Charleston (College of Charleston, The Citadel, MUSC)
"
417,South Carolina[edit],"Clemson (Clemson University)[2]
"
418,South Carolina[edit],"Clinton (Presbyterian College)
"
419,South Carolina[edit],"Columbia (University of South Carolina)[14]
"
420,South Carolina[edit],"Due West (Erskine College)
"
421,South Carolina[edit],"Florence (Francis Marion University)
"
422,South Carolina[edit],"Greenwood (Lander University)
"
423,South Carolina[edit],"Orangeburg (South Carolina State University, Claflin University)[2]
"
424,South Carolina[edit],"Rock Hill (Winthrop University)
"
425,South Carolina[edit],"Spartanburg (Wofford College, Converse College, University of South Carolina Upstate, Spartanburg Methodist College, Edward Via College of Osteopathic Medicine, Spartanburg Community College, Virginia College, Sherman College of Chiropractic)
"
426,South Dakota[edit],"Brookings (South Dakota State University)[2]
"
427,South Dakota[edit],"Madison (Dakota State University)
"
428,South Dakota[edit],"Spearfish (Black Hills State University)
"
429,South Dakota[edit],"Vermillion (University of South Dakota)[5]
"
430,Tennessee[edit],"Chattanooga (University of Tennessee at Chattanooga)
"
431,Tennessee[edit],"Collegedale (Southern Adventist University)
"
432,Tennessee[edit],"Cookeville (Tennessee Technological University)[2]
"
433,Tennessee[edit],"Harrogate (Lincoln Memorial University)[2]
"
434,Tennessee[edit],"Henderson (Freed-Hardeman University)[2]
"
435,Tennessee[edit],"Johnson City (East Tennessee State University)
"
436,Tennessee[edit],"Knoxville (University of Tennessee)
"
437,Tennessee[edit],"Martin (University of Tennessee at Martin)[2]
"
438,Tennessee[edit],"McKenzie (Bethel University)[2]
"
439,Tennessee[edit],"Memphis (Christian Brothers University, LeMoyne-Owen College, Memphis College of Art, Memphis Theological Seminary, Rhodes College, Southern College of Optometry, Southwest Tennessee Community College, University of Memphis, University of Tennessee Health Science Center, Visible Music College)
"
440,Tennessee[edit],"Murfreesboro (Middle Tennessee State University)[2]
"
441,Tennessee[edit],"Nashville (Vanderbilt University, Belmont University, Tennessee State University, Lipscomb University, Fisk University, Aquinas College, Trevecca Nazarene University)
"
442,Tennessee[edit],"Sewanee (Sewanee: the University of the South)[2]
"
443,Texas[edit],"Abilene (Abilene Christian University, Hardin-Simmons University, McMurry University)
"
444,Texas[edit],"Alpine (Sul Ross State University)[2]
"
445,Texas[edit],"Austin (University of Texas at Austin, St. Edwards University, Huston-Tillotson University)[2]
"
446,Texas[edit],"Beaumont (Lamar University)
"
447,Texas[edit],"Canyon (West Texas A&M University)[2]
"
448,Texas[edit],"College Station (Texas A&M University)[5]
"
449,Texas[edit],"Commerce (Texas A&M Universityâ€“Commerce)[2]
"
450,Texas[edit],"Dallas (Southern Methodist University)
"
451,Texas[edit],"Denton (University of North Texas, Texas Woman's University)[2]
"
452,Texas[edit],"Fort Worth (Texas Christian University, Texas Wesleyan University)
"
453,Texas[edit],"Georgetown (Southwestern University)
"
454,Texas[edit],"Huntsville (Sam Houston State University)[2]
"
455,Texas[edit],"Houston (University of Houston, Texas Southern University, Rice University, Houston Baptist University)
"
456,Texas[edit],"Keene (Southwestern Adventist University)[2]
"
457,Texas[edit],"Kingsville (Texas A&M Universityâ€“Kingsville)[2]
"
458,Texas[edit],"Lubbock (Texas Tech University, Lubbock Christian University)
"
459,Texas[edit],"Nacogdoches (Stephen F. Austin State University)[2]
"
460,Texas[edit],"Plainview (Wayland Baptist University)[2]
"
461,Texas[edit],"Prairie View (Prairie View A&M University)[2]
"
462,Texas[edit],"San Marcos (Texas State University)[5]
"
463,Texas[edit],"Stephenville (Tarleton State University)[2]
"
464,Texas[edit],"Waco (Baylor University)
"
465,Utah[edit],"Cedar City (Southern Utah University)[2]
"
466,Utah[edit],"Logan (Utah State University)[2]
"
467,Utah[edit],"Provo (Brigham Young University)[5]
"
468,Utah[edit],"Orem (Utah Valley University)
"
469,Utah[edit],"Salt Lake City (University of Utah)
"
470,Utah[edit],"Ephraim (Snow College)
"
471,Vermont[edit],"Burlington (University of Vermont, Champlain College and Saint Michael's College)[2]
"
472,Vermont[edit],"Castleton (Castleton State College)[2]
"
473,Vermont[edit],"Johnson (Johnson State College)[2]
"
474,Vermont[edit],"Lyndonville (Lyndon State College)[2]
"
475,Vermont[edit],"Middlebury (Middlebury College)[2]
"
476,Vermont[edit],"Northfield (Norwich University)[2]
"
477,Virginia[edit],"Blacksburg (Virginia Polytechnic Institute and State University)[5]
"
478,Virginia[edit],"Bridgewater (Bridgewater College)[2]
"
479,Virginia[edit],"Charlottesville (University of Virginia)[23]
"
480,Virginia[edit],"Farmville (Longwood University, Hampden-Sydney College)[2]
"
481,Virginia[edit],"Fredericksburg (University of Mary Washington)[2]
"
482,Virginia[edit],"Harrisonburg (James Madison University, Eastern Mennonite University)[2]
"
483,Virginia[edit],"Lexington (Washington and Lee University, Virginia Military Institute)[2]
"
484,Virginia[edit],"Lynchburg (Lynchburg College, Randolph College, Liberty University, Central Virginia Community College)
"
485,Virginia[edit],"Radford (Radford University)[2]
"
486,Virginia[edit],"Williamsburg (The College of William & Mary)[2]
"
487,Virginia[edit],"Wise (University of Virginia's College at Wise)[2]
"
488,Virginia[edit],"Chesapeake (Averett University, DeVry University, Troy University, Tidewater Community College, Strayer University, Everest University, Sentera College of Health Sciences, St Leo University)[2]
"
489,Washington[edit],"Bellingham (Western Washington University)
"
490,Washington[edit],"Cheney (Eastern Washington University)[2]
"
491,Washington[edit],"Ellensburg (Central Washington University)[5]
"
492,Washington[edit],"Pullman (Washington State University)[5]
"
493,Washington[edit],"University District, Seattle (University of Washington)[5]
"
494,West Virginia[edit],"Athens (Concord University)[2]
"
495,West Virginia[edit],"Buckhannon (West Virginia Wesleyan College)[2]
"
496,West Virginia[edit],"Fairmont (Fairmont State University)[2]
"
497,West Virginia[edit],"Glenville (Glenville State College)[2]
"
498,West Virginia[edit],"Huntington (Marshall University)[2]
"
499,West Virginia[edit],"Montgomery (West Virginia University Institute of Technology)[2]
"
500,West Virginia[edit],"Morgantown (West Virginia University)[2]
"
501,West Virginia[edit],"Shepherdstown (Shepherd University)[2]
"
502,West Virginia[edit],"West Liberty (West Liberty University)[2]
"
503,Wisconsin[edit],"Appleton (Lawrence University)
"
504,Wisconsin[edit],"Eau Claire (University of Wisconsinâ€“Eau Claire)
"
505,Wisconsin[edit],"Green Bay (University of Wisconsin-Green Bay)
"
506,Wisconsin[edit],"La Crosse (University of Wisconsinâ€“La Crosse, Western Technical College, Viterbo University)[2]
"
507,Wisconsin[edit],"Madison (University of Wisconsinâ€“Madison)[2]
"
508,Wisconsin[edit],"Menomonie (University of Wisconsinâ€“Stout)[2]
"
509,Wisconsin[edit],"Milwaukee (Marquette University, University of Wisconsinâ€“Milwaukee)
"
510,Wisconsin[edit],"Oshkosh (University of Wisconsinâ€“Oshkosh)
"
511,Wisconsin[edit],"Platteville (University of Wisconsinâ€“Platteville)[2]
"
512,Wisconsin[edit],"River Falls (University of Wisconsinâ€“River Falls)[2]
"
513,Wisconsin[edit],"Stevens Point (University of Wisconsinâ€“Stevens Point)[2]
"
514,Wisconsin[edit],"Waukesha (Carroll University)
"
515,Wisconsin[edit],"Whitewater (University of Wisconsinâ€“Whitewater)[2]
"
516,Wyoming[edit],"Laramie (University of Wyoming)[5]
"
