iter	RMSE
564	2854.715167
565	2852.958313
566	2851.589282
567	2850.382015
568	2849.588263
569	2847.83104
570	2847.191513
571	2844.207206
572	2842.573866
573	2841.366392
574	2838.499205
575	2834.512186
576	2833.631034
577	2830.068082
578	2828.608473
579	2827.723663
580	2826.294078
581	2824.445934
582	2820.424536
583	2819.13831
584	2818.454293
585	2816.900377
586	2814.088864
587	2813.348237
588	2810.73466
589	2810.180523
590	2809.402166
591	2808.798924
592	2806.20967
593	2804.345797
594	2803.677318
595	2799.791758
596	2799.257028
597	2798.45996
598	2796.007808
599	2793.20416
600	2790.935807
601	2787.620422
602	2786.926608
603	2784.628126
604	2783.489245
605	2781.146039
606	2778.960833
607	2778.131019
608	2776.868647
609	2775.207736
610	2772.923824
611	2770.001488
612	2768.383053
613	2767.335098
614	2766.0985
615	2764.038001
616	2763.044499
617	2759.437578
618	2758.346497
619	2757.170483
620	2755.687533
621	2752.582711
622	2751.22123
623	2750.081629
624	2748.530307
625	2747.476728
626	2745.225703
627	2743.851664
628	2742.914847
629	2740.810528
630	2739.294073
631	2737.893547
632	2737.075473
633	2735.554963
634	2734.089913
635	2733.237047
636	2732.112301
637	2730.177412
638	2727.195861
639	2726.27208
640	2723.379158
641	2721.676975
642	2719.343374
643	2718.334231
644	2715.926459
645	2714.324387
646	2713.352419
647	2712.169709
648	2711.115977
649	2708.483672
650	2706.041329
651	2705.058614
652	2703.109219
653	2702.513163
654	2701.560728
655	2698.882216
656	2698.362465
657	2696.628465
658	2694.99242
659	2693.89053
660	2691.410551
661	2690.280974
662	2689.150149
663	2687.742362
664	2685.299559
665	2683.190566
666	2678.677147
667	2676.844912
668	2674.66987
669	2672.398148
670	2671.163943
671	2670.087246
672	2669.165389
673	2667.198743
674	2666.182687
675	2665.292036
676	2663.674717
677	2663.019808
678	2660.046709
679	2658.583397
680	2657.554855
681	2656.728966
682	2655.749199
683	2654.974493
684	2654.22396
685	2653.373061
686	2650.527588
687	2648.610739
688	2647.794928
689	2647.296139
690	2645.357662
691	2643.702775
692	2641.850984
693	2640.236051
694	2639.559089
695	2638.789985
696	2636.165853
697	2635.501401
698	2634.819586
699	2632.417781
700	2631.151085
701	2627.999171
702	2626.034336
703	2623.72191
704	2622.945571
705	2622.323803
706	2621.502383
707	2620.256237
708	2618.596206
709	2617.858805
710	2615.550946
711	2612.257477
712	2611.417525
713	2609.196728
714	2607.973426
715	2606.525046
716	2602.224941
717	2600.77465
718	2598.784723
719	2596.959439
720	2595.66722
721	2593.520373
722	2591.150867
723	2589.952364
724	2588.317425
725	2586.274172
726	2584.524124
727	2580.220642
728	2578.689621
729	2577.122881
730	2576.305035
731	2574.614685
732	2572.907201
733	2570.557758
734	2567.592156
735	2566.499518
736	2565.619167
737	2564.833382
738	2561.919593
739	2560.213178
740	2558.260282
741	2556.460772
742	2555.5908
743	2554.186644
744	2551.893275
745	2549.732596
746	2549.260882
747	2547.52487
748	2545.84455
749	2544.011075
750	2543.552593
751	2542.882437
752	2541.589584
753	2540.843203
754	2536.687996
755	2535.030725
756	2533.830028
757	2530.423203
758	2528.511139
759	2527.38029
760	2523.128621
761	2522.109319
762	2519.291912
763	2517.955325
764	2517.303507
765	2516.338849
766	2513.647475
767	2513.062147
768	2512.390784
769	2511.778553
770	2511.085207
771	2509.497327
772	2506.503569
773	2505.840622
774	2504.86156
775	2503.23871
776	2502.710734
777	2501.568121
778	2500.697705
779	2499.175959
780	2497.613828
781	2496.646007
782	2495.763605
783	2494.199315
784	2491.836921
785	2490.952061
786	2489.782524
787	2487.684153
788	2484.904966
789	2484.292657
790	2483.60427
791	2482.566591
792	2478.572578
793	2477.379614
794	2475.464276
795	2472.73025
796	2471.390816
797	2469.858645
798	2468.801843
799	2466.197873
800	2465.161714
801	2464.091556
802	2461.876064
803	2460.069251
804	2459.403519
805	2458.726715
806	2458.118634
807	2457.479519
808	2456.781141
809	2456.11857
810	2454.828249
811	2453.029599
812	2451.904113
813	2451.331581
814	2450.731055
815	2449.91012
816	2449.403424
817	2447.979258
818	2447.395545
819	2446.814752
820	2445.884522
821	2445.277899
822	2443.779986
823	2441.288299
824	2440.456727
825	2438.517576
826	2436.779796
827	2434.065922
828	2432.836511
829	2431.358178
830	2430.464465
831	2429.272668
832	2427.743254
833	2425.030853
834	2422.841711
835	2422.238817
836	2421.662037
837	2419.4363
838	2418.881032
839	2417.122431
840	2416.607516
841	2414.849365
842	2413.270078
843	2410.180449
844	2408.697368
845	2407.251962
846	2405.524154
847	2404.915141
848	2403.643907
849	2402.750222
850	2401.207137
851	2400.17214
852	2398.277658
853	2396.433354
854	2394.115837
855	2393.519107
856	2393.114051
857	2391.722431
858	2391.234869
859	2390.18826
860	2389.005346
861	2387.643576
862	2387.064628
863	2385.929114
864	2383.939769
865	2380.988026
866	2379.079103
867	2377.598424
868	2376.492831
869	2374.470525
870	2373.082794
871	2371.920583
872	2371.021074
873	2370.468723
874	2369.679861
875	2369.112518
876	2368.372193
877	2367.553645
878	2366.974815
879	2366.043131
880	2364.611235
881	2363.087313
882	2360.527911
883	2359.557063
884	2357.413731
885	2356.288313
886	2354.833999
887	2352.192162
888	2351.867488
889	2350.980504
890	2350.332223
891	2348.268028
892	2347.082365
893	2344.26495
894	2343.09916
895	2342.580237
896	2340.923405
897	2340.354628
898	2338.239998
899	2336.76002
900	2335.510177
901	2335.011157
902	2333.287438
903	2332.713616
904	2331.736547
905	2330.939443
906	2330.240133
907	2328.659929
908	2328.162854
909	2326.793947
910	2324.965494
911	2324.493601
912	2322.446844
913	2321.387561
914	2320.617014
915	2318.973732
916	2316.820471
917	2315.615444
918	2313.73882
919	2311.607195
920	2310.718387
921	2310.296717
922	2308.024655
923	2306.822164
924	2306.383756
925	2304.84549
926	2304.099488
927	2303.582394
928	2302.988953
929	2301.686132
930	2299.294509
931	2298.879465
932	2297.536904
933	2295.898147
934	2295.254387
935	2294.769616
936	2293.736702
937	2293.000687
938	2292.58983
939	2291.041822
940	2288.498864
941	2285.752581
942	2284.03242
943	2282.399828
944	2281.920644
945	2280.256051
946	2278.4048
947	2277.822577
948	2275.91352
949	2274.129896
950	2272.558836
951	2271.539826
952	2269.734138
953	2268.16149
954	2267.587972
955	2266.112759
956	2265.611966
957	2264.645209
958	2263.76832
959	2263.019242
960	2262.024408
961	2260.69082
962	2259.201585
963	2258.429894
964	2257.01645
965	2255.922358
966	2254.955794
967	2254.11187
968	2252.241436
969	2250.99634
970	2250.648957
971	2249.332569
972	2247.55352
973	2247.02447
974	2245.460144
975	2244.342427
976	2242.619984
977	2241.972448
978	2240.426928
979	2239.698182
980	2238.99411
981	2237.684675
982	2236.60028
983	2236.052774
984	2234.788652
985	2234.14923
986	2233.75639
987	2232.466166
988	2230.893284
989	2230.32587
990	2230.043605
991	2229.769951
992	2229.030792
993	2227.54644
994	2225.709431
995	2225.265762
996	2224.566389
997	2223.890331
998	2223.011529
999	2221.398882
44
999	2329.719227

